categorie,detail,annee,nombre
Permis initial,Permis initial,2018,27125
Permis initial,Permis initial,2019,37005
Permis initial,Permis initial,2020,16720
Permis initial,Permis initial,2021,38970
Permis initial,Permis initial,2022,37530
Permis subséquent,Permis subséquent,2018,17450
Permis subséquent,Permis subséquent,2019,20575
Permis subséquent,Permis subséquent,2020,26155
Permis subséquent,Permis subséquent,2021,25070
Permis subséquent,Permis subséquent,2022,25945
Permis unique,Permis unique,2018,34715
Permis unique,Permis unique,2019,42110
Permis unique,Permis unique,2020,26865
Permis unique,Permis unique,2021,45920
Permis unique,Permis unique,2022,43460
Permis multiples,Permis multiples,2018,9265
Permis multiples,Permis multiples,2019,14915
Permis multiples,Permis multiples,2020,15405
Permis multiples,Permis multiples,2021,16945
Permis multiples,Permis multiples,2022,18905
Permis multiples,Avec permis de travail,2018,9230
Permis multiples,Avec permis de travail,2019,14895
Permis multiples,Avec permis de travail,2020,15395
Permis multiples,Avec permis de travail,2021,16920
Permis multiples,Avec permis de travail,2022,18890
Permis multiples,Sans permis de travail,2018,35
Permis multiples,Sans permis de travail,2019,20
Permis multiples,Sans permis de travail,2020,10
Permis multiples,Sans permis de travail,2021,25
Permis multiples,Sans permis de travail,2022,15
Groupe d'âge,0 à 14 ans,2018,2215
Groupe d'âge,0 à 14 ans,2019,3465
Groupe d'âge,0 à 14 ans,2020,2335
Groupe d'âge,0 à 14 ans,2021,4090
Groupe d'âge,0 à 14 ans,2022,4775
Groupe d'âge,15 à 19 ans,2018,10645
Groupe d'âge,15 à 19 ans,2019,13960
Groupe d'âge,15 à 19 ans,2020,8270
Groupe d'âge,15 à 19 ans,2021,13055
Groupe d'âge,15 à 19 ans,2022,11345
Groupe d'âge,20 à 24 ans,2018,16655
Groupe d'âge,20 à 24 ans,2019,21760
Groupe d'âge,20 à 24 ans,2020,16410
Groupe d'âge,20 à 24 ans,2021,25835
Groupe d'âge,20 à 24 ans,2022,24550
Groupe d'âge,25 à 29 ans,2018,8215
Groupe d'âge,25 à 29 ans,2019,10380
Groupe d'âge,25 à 29 ans,2020,8870
Groupe d'âge,25 à 29 ans,2021,11315
Groupe d'âge,25 à 29 ans,2022,12100
Groupe d'âge,30 à 44 ans,2018,5700
Groupe d'âge,30 à 44 ans,2019,6750
Groupe d'âge,30 à 44 ans,2020,5780
Groupe d'âge,30 à 44 ans,2021,7790
Groupe d'âge,30 à 44 ans,2022,8825
Groupe d'âge,45 et plus,2018,640
Groupe d'âge,45 et plus,2019,800
Groupe d'âge,45 et plus,2020,775
Groupe d'âge,45 et plus,2021,890
Groupe d'âge,45 et plus,2022,950
Niveau d'études,Primaire,2018,1345
Niveau d'études,Primaire,2019,2315
Niveau d'études,Primaire,2020,1520
Niveau d'études,Primaire,2021,2735
Niveau d'études,Primaire,2022,3355
Niveau d'études,Secondaire et École de métier,2018,6945
Niveau d'études,Secondaire et École de métier,2019,8260
Niveau d'études,Secondaire et École de métier,2020,6680
Niveau d'études,Secondaire et École de métier,2021,8095
Niveau d'études,Secondaire et École de métier,2022,8335
Niveau d'études,Cégep et Collège,2018,9600
Niveau d'études,Cégep et Collège,2019,16860
Niveau d'études,Cégep et Collège,2020,15720
Niveau d'études,Cégep et Collège,2021,14805
Niveau d'études,Cégep et Collège,2022,15095
Niveau d'études,Baccalauréat,2018,11550
Niveau d'études,Baccalauréat,2019,13110
Niveau d'études,Baccalauréat,2020,7110
Niveau d'études,Baccalauréat,2021,16180
Niveau d'études,Baccalauréat,2022,15150
Niveau d'études,Maîtrise,2018,8775
Niveau d'études,Maîtrise,2019,9795
Niveau d'études,Maîtrise,2020,6205
Niveau d'études,Maîtrise,2021,13205
Niveau d'études,Maîtrise,2022,13000
Niveau d'études,Doctorat,2018,3400
Niveau d'études,Doctorat,2019,3860
Niveau d'études,Doctorat,2020,3390
Niveau d'études,Doctorat,2021,5180
Niveau d'études,Doctorat,2022,4875
Niveau d'études,Autres études universitaires,2018,1515
Niveau d'études,Autres études universitaires,2019,1500
Niveau d'études,Autres études universitaires,2020,1000
Niveau d'études,Autres études universitaires,2021,1940
Niveau d'études,Autres études universitaires,2022,2025
Niveau d'études,Autres études,2018,1115
Niveau d'études,Autres études,2019,1520
Niveau d'études,Autres études,2020,1075
Niveau d'études,Autres études,2021,1000
Niveau d'études,Autres études,2022,1015
Niveau d'études,Non précisé,2018,20
Niveau d'études,Non précisé,2019,15
Niveau d'études,Non précisé,2020,15
Niveau d'études,Non précisé,2021,10
Niveau d'études,Non précisé,2022,5
Région de destination,Abitibi-Témiscamingue,2018,290
Région de destination,Abitibi-Témiscamingue,2019,290
Région de destination,Abitibi-Témiscamingue,2020,160
Région de destination,Abitibi-Témiscamingue,2021,365
Région de destination,Abitibi-Témiscamingue,2022,450
Région de destination,Bas-Saint-Laurent,2018,630
Région de destination,Bas-Saint-Laurent,2019,615
Région de destination,Bas-Saint-Laurent,2020,325
Région de destination,Bas-Saint-Laurent,2021,840
