categorie,description,detail,annee,nombre_csq
age,groupe_age,00-19_ans,2016,22373
age,groupe_age,20-24_ans,2016,4243
age,groupe_age,25-34_ans,2016,25294
age,groupe_age,35-39_ans,2016,9579
age,groupe_age,40-44_ans,2016,5068
age,groupe_age,45-49_ans,2016,2910
age,groupe_age,50-54_ans,2016,1552
age,groupe_age,non_disponible,2016,0
age,groupe_age,plus_de_55_ans,2016,3920
autres_immigrants,autres_immigrants,autres_immigrants,2016,683
immigration_economique,autres_catégories_économiques,aides_familiaux,2016,703
immigration_economique,gens_d'affaires,entrepreneurs,2016,301
immigration_economique,gens_d'affaires,investisseurs,2016,6211
immigration_economique,gens_d'affaires,travailleurs_autonomes,2016,93
immigration_economique,travailleurs_qualifiés,autres_travailleurs_qualifiés,2016,18
immigration_economique,travailleurs_qualifiés,emploi_assuré,2016,0
immigration_economique,travailleurs_qualifiés,peq_travailleurs,2016,4534
immigration_economique,travailleurs_qualifiés,peq_étudiants,2016,4907
immigration_economique,travailleurs_qualifiés,programme_pilote,2016,0
immigration_economique,travailleurs_qualifiés,prtq,2016,30527
implication,type_d'implication,personne_à_charge,2016,34849
implication,type_d'implication,requérant_principal,2016,40093
mouvement_special,victimes_du_séisme_en_haïti,haïti_-_cas_humanitaires,2016,0
pays,pays_de_naissance,afghanistan,2016,667
pays,pays_de_naissance,afrique_du_sud,2016,51
pays,pays_de_naissance,albanie,2016,121
pays,pays_de_naissance,algérie,2016,3685
pays,pays_de_naissance,allemagne,2016,165
pays,pays_de_naissance,andorre,2016,0
pays,pays_de_naissance,angola,2016,14
pays,pays_de_naissance,antigua-et-barbuda,2016,0
pays,pays_de_naissance,antilles_néerlandaises,2016,0
pays,pays_de_naissance,apatrides,2016,0
pays,pays_de_naissance,arabie_saoudite,2016,206
pays,pays_de_naissance,argentine,2016,62
pays,pays_de_naissance,arménie,2016,97
pays,pays_de_naissance,aruba,2016,0
pays,pays_de_naissance,australie,2016,75
pays,pays_de_naissance,autres_afrique,2016,0
pays,pays_de_naissance,autres_asie,2016,0
pays,pays_de_naissance,autres_océanie,2016,0
pays,pays_de_naissance,autriche,2016,11
pays,pays_de_naissance,azerbaïdjan,2016,18
pays,pays_de_naissance,bahamas,2016,8
pays,pays_de_naissance,bahreïn,2016,17
pays,pays_de_naissance,bangladesh,2016,416
pays,pays_de_naissance,barbade,2016,10
pays,pays_de_naissance,belgique,2016,290
