categorie,detail,annee,nombre_etudiants
age,0_à_14_ans,2018,2215
age,15_à_19_ans,2018,10645
age,20_à_24_ans,2018,16655
age,25_à_29_ans,2018,8215
age,30_à_44_ans,2018,5700
age,45_et_plus,2018,640
langue,anglais,2018,17080
langue,aucune_(ni_français_ni_anglais),2018,440
langue,bilingue_(français_et_anglais),2018,18830
langue,français,2018,6095
langue,non_précisée,2018,1800
niveau_etude,autres_études,2018,1115
niveau_etude,autres_études_universitaires,2018,1515
niveau_etude,baccalauréat,2018,11550
niveau_etude,cégep_et_collège,2018,9600
niveau_etude,doctorat,2018,3400
niveau_etude,maîtrise,2018,8775
niveau_etude,non_précisé,2018,20
niveau_etude,primaire,2018,1345
niveau_etude,secondaire_et_école_de_métier,2018,6945
pays,algérie,2018,1345
pays,autres_pays,2018,14390
pays,brésil,2018,1070
pays,cameroun,2018,735
pays,chine,2018,5895
pays,colombie,2018,700
pays,france,2018,9920
pays,inde,2018,5615
pays,iran,2018,1530
pays,maroc,2018,1645
pays,total_(personnes_uniques),2018,43980
pays,tunisie,2018,1130
region,abitibi-témiscamingue,2018,290
region,bas-saint-laurent,2018,630
region,capitale-nationale,2018,3305
region,centre-du-québec,2018,155
region,chaudière-appalaches,2018,240
region,côte-nord,2018,65
region,estrie,2018,1765
region,gaspésie--îles-de-la-madeleine,2018,345
region,lanaudière,2018,65
region,laurentides,2018,95
region,laval,2018,425
region,mauricie,2018,1355
region,montréal,2018,31870
region,montérégie,2018,1165
region,non_précisé,2018,435
region,nord-du-québec,2018,20
region,outaouais,2018,460
region,saguenay--lac-saint-jean,2018,1455
type_permis,avec_permis_de_travail,2018,9230
type_permis,permis_initial,2018,27125
type_permis,permis_multiples,2018,9265
type_permis,permis_subsequent,2018,17450
type_permis,permis_unique,2018,34715
type_permis,sans_permis_de_travail,2018,35
age,0_à_14_ans,2019,3465
age,15_à_19_ans,2019,13960
age,20_à_24_ans,2019,21760
age,25_à_29_ans,2019,10380
age,30_à_44_ans,2019,6750
age,45_et_plus,2019,800
langue,anglais,2019,24630
langue,aucune_(ni_français_ni_anglais),2019,605
langue,bilingue_(français_et_anglais),2019,22045
langue,français,2019,7695
langue,non_précisée,2019,2295
niveau_etude,autres_études,2019,1520
niveau_etude,autres_études_universitaires,2019,1500
niveau_etude,baccalauréat,2019,13110
niveau_etude,cégep_et_collège,2019,16860
niveau_etude,doctorat,2019,3860
niveau_etude,maîtrise,2019,9795
niveau_etude,non_précisé,2019,15
niveau_etude,primaire,2019,2315
niveau_etude,secondaire_et_école_de_métier,2019,8260
pays,algérie,2019,2500
pays,autres_pays,2019,16335
pays,brésil,2019,1180
pays,cameroun,2019,935
pays,chine,2019,5960
pays,colombie,2019,1135
pays,france,2019,10475
pays,inde,2019,12700
pays,iran,2019,2060
pays,maroc,2019,2420
pays,total_(personnes_uniques),2019,57025
pays,tunisie,2019,1325
