categorie;detail;n_4e_trimestre_2021;%_4e_trimestre_2021;n_Annee_2021;%_Annee_2021;n_Annee_2020;%_Annee_2020;variation_points_de_pourcentage
Immigration totale;Immigration totale;16 007;100;50 253;100;25 227;100;
Groupe d'âge;0-14 ans;2 722;17;7 841;15.6;5 198;20.6;-5
Groupe d'âge;15-24 ans;1 885;11.8;5 717;11.4;2 517;10;1.4
Groupe d'âge;25-34 ans;5 585;34.9;19 094;38;8 153;32.3;5.7
Groupe d'âge;35-44 ans;3 519;22;10 812;21.5;5 853;23.2;-1.7
Groupe d'âge;45-54 ans;1 201;7.5;3 779;7.5;1 973;7.8;-0.3
Groupe d'âge;55-64 ans;560;3.5;1 597;3.2;796;3.2;0
Groupe d'âge;65 ans et plus;535;3.3;1 413;2.8;737;2.9;-0.1
Sexe;Femmes;8 046;50.3;25 288;50.3;12 862;51;-0.7
Sexe;Hommes;7 961;49.7;24 965;49.7;12 365;49;0.7
Catégorie d'immigration;Immigration économique;7 626;47.6;26 845;53.4;12 771;50.6;2.8
Catégorie d'immigration;Travailleurs qualifiés ;7 346;45.9;25 034;49.8;11 475;45.5;4.3
Catégorie d'immigration;Gens d'affaires, total;208;1.3;1 685;3.4;1 107;4.4;-1
Catégorie d'immigration;Entrepreneurs et travailleurs autonomes;24;0.1;76;0.2;51;0.2;-0.1
Catégorie d'immigration;Investisseurs;184;1.1;1 609;3.2;1 056;4.2;-1
Catégorie d'immigration;Aides familiaux;72;0.4;126;0.3;189;0.7;-0.5
Catégorie d'immigration;Regroupement familial;4 690;29.3;13 872;27.6;7 794;30.9;-3.3
Catégorie d'immigration;Réfugiés et personnes en situation semblable;2 549;15.9;7 295;14.5;4 187;16.6;-2.1
Catégorie d'immigration;Sélectionnés à l'étranger;649;4.1;1 611;3.2;1 731;6.9;-3.7
Catégorie d'immigration;Reconnus sur place;1 900;11.9;5 684;11.3;2 456;9.7;1.6
Catégorie d'immigration;Autres immigrants;1 142;7.1;2 241;4.5;475;1.9;2.6
Part de l'immigration sélectionnée;Part de l'immigration sélectionnée;;58.8;;61.1;;59.4;
Connaissance du français et de l'anglais;Français seulement;4 781;30.3;14 197;28.5;7 186;28.7;-0.2
Connaissance du français et de l'anglais;Français et anglais;5 902;37.4;20 252;40.7;7 909;31.6;9.1
Connaissance du français et de l'anglais;Connaissant le français;10 683;67.7;34 449;69.3;15 095;60.4;8.9
Connaissance du français et de l'anglais;Anglais seulement;3 272;20.7;9 821;19.7;6 052;24.2;-4.5
Connaissance du français et de l'anglais;Ni français ni anglais;1 831;11.6;5 460;11;3 854;15.4;-4.4
Connaissance du français et de l'anglais;Sous-total ;15 786;100;49 730;100;25 001;100;
Connaissance du français et de l'anglais;Information non disponible;221;1.4;523;1.1;226;0.9;0.1
