id;Caracteristiques ;Description;Details;n-2016;n-2017;n-2018;n-2019;n-2020;n-2021;n-2022;n-2023
1;Immigration économique;Travailleurs qualifiés;PRTQ;30 527;21 563;12 526;2 442;4 472;5 576;12 286;25 040
2;Immigration économique;Travailleurs qualifiés;Emploi assuré;;*;;;;;;
3;Immigration économique;Travailleurs qualifiés;PEQ Étudiants;4 907;4 791;5 146;4 867;8 088;8 068;1 958;3 643
4;Immigration économique;Travailleurs qualifiés;PEQ Travailleurs;4 534;4 402;5 566;9 881;8 404;16 323;3 957;5 670
5;Immigration économique;Travailleurs qualifiés;Programme pilote;;;;;;311;527;1 490
6;Immigration économique;Travailleurs qualifiés;Autres travailleurs qualifiés;18;6;11;;;;;
7;Immigration économique;Gens d'affaires;Entrepreneurs;301;384;39;8;66;146;117;22
8;Immigration économique;Gens d'affaires;Investisseurs;6 211;5 221;5 079;2 647;1 797;1 382;940;967
9;Immigration économique;Gens d'affaires;Travailleurs autonomes;93;76;*;14;224;155;214;124
10;Immigration économique;Autres catégories économiques;Aides familiaux;703;389;485;269;93;30;7;7
11;Regroupement familial;Regroupement familial;Regroupement familial;14 797;12 935;12 915;11 351;13 849;13 820;16 586;17 246
12;Réfugiés et personnes en situation semblable;Réfugiés sélectionnés à l'étranger;Réfugiés pris en charge par l'État;3 710;958;1 633;1 698;912;671;1 873;1 490
13;Réfugiés et personnes en situation semblable;Réfugiés sélectionnés à l'étranger;Parrainage;4 396;5 379;4 972;3 100;1 005;248;1 511;1 169
14;Réfugiés et personnes en situation semblable;Réfugiés reconnus sur place;Réfugiés reconnus sur place;2 132;2 192;2 461;5 448;4 043;6 340;7 937;9 741
15;Réfugiés et personnes en situation semblable; Réfugiés reconnus sur place;Famille à l'étranger d'un réfugié reconnu sur place;1 751;461;627;889;952;1 530;2 047;1 552
16;Réfugiés et personnes en situation semblable;Réfugiés reconnus sur place;Famille sur place d'un réfugié reconnu sur place;179;42;47;90;160;387;374;333
17;Autres immigrants;Autres immigrants;Autres immigrants;683;703;407;751;628;4 796;1 008;1 248
18;Mouvement spécial;Victimes du séisme en Haïti;Haïti - Cas humanitaires;;*;*;;;;;
19;Âge;Groupe d'âge;00-19 ans;22 373;18 173;15 135;11 075;10 094;15 102;14 193;19 481
20;Âge;Groupe d'âge;20-24 ans;4 243;3 535;3 610;3 412;4 177;4 508;3 381;4 370
21;Âge;Groupe d'âge;25-34 ans;25 294;18 176;15 806;14 258;15 801;20 159;14 685;22 116
22;Âge;Groupe d'âge;35-39 ans;9 579;7 839;6 513;4 834;5 273;7 831;6 366;8 790
23;Âge;Groupe d'âge;40-44 ans;5 068;4 726;3 948;3 077;3 171;4 952;3 822;5 104
24;Âge;Groupe d'âge;45-49 ans;2 910;2 741;2 447;2 083;1 903;3 014;2 240;2 807
25;Âge;Groupe d'âge;50-54 ans;1 552;1 260;1 357;1 158;1 128;1 576;1 489;1 655
26;Âge;Groupe d'âge;plus de 55 ans;3 920;3 054;3 104;3 558;3 146;2 640;5 163;5 416
27;Âge;Groupe d'âge;Non disponible;*;*;*;;;*;*;*
28;Caractère sexuel;Sexe;Femmes;37 699;29 288;25 946;22 129;22 431;29 941;26 534;35 551
29;Caractère sexuel;Sexe;Hommes;37 242;30 217;25 973;21 325;22 262;29 839;24 808;34 190
30;Caractère sexuel;Sexe;Non disponible;*;;*;*;;*;;*
31;Implication;Type d'implication;Personne à charge;34 849;27 121;22 925;17 258;16 245;23 916;21 447;30 499
32;Implication;Type d'implication;Requérant principal;40 093;32 384;28 996;26 197;28 448;35 867;29 895;39 243
34;Pays ;Pays de naissance;Afghanistan;667;818;483;621;564;372;919;492
35;Pays ;Pays de naissance;Afrique du Sud;51;59;36;63;59;104;97;87
36;Pays ;Pays de naissance;Albanie;121;50;73;35;59;50;33;74
37;Pays ;Pays de naissance;Algérie;3 685;4 238;3 127;1 702;2 293;2 582;2 770;4 137
38;Pays ;Pays de naissance;Allemagne;165;144;128;101;111;165;110;116
39;Pays ;Pays de naissance;Andorre;*;*;*;*;*;*;*;*
40;Pays ;Pays de naissance;Angola;14;31;45;91;76;237;223;209
41;Pays ;Pays de naissance;Antigua-et-Barbuda;*;*;*;*;*;*;*;*
42;Pays ;Pays de naissance;Antilles néerlandaises;*;*;*;*;*;*;*;*
43;Pays ;Pays de naissance;Apatrides;*;*;*;*;*;*;*;*
44;Pays ;Pays de naissance;Arabie saoudite;206;407;537;550;327;302;256;258
45;Pays ;Pays de naissance;Argentine;62;67;52;43;90;93;71;64
46;Pays ;Pays de naissance;Arménie;97;46;36;12;25;30;30;41
47;Pays ;Pays de naissance;Aruba;*;*;*;*;*;*;*;*
48;Pays ;Pays de naissance;Australie;75;106;73;54;65;86;42;45
49;Pays ;Pays de naissance;Autres Afrique;*;*;*;*;*;*;*;*
50;Pays ;Pays de naissance;Autres Asie;*;*;*;*;*;*;*;*
51;Pays ;Pays de naissance;Autres Océanie;*;*;*;*;*;*;*;*
52;Pays ;Pays de naissance;Autriche;11;11;7;11;12;18;6;12
53;Pays ;Pays de naissance;Azerbaïdjan;18;26;20;16;19;17;17;16
54;Pays ;Pays de naissance;Bahamas;8;12;10;6;12;32;23;20
55;Pays ;Pays de naissance;Bahreïn;17;11;14;10;*;13;6;*
56;Pays ;Pays de naissance;Bangladesh;416;387;355;237;295;355;396;422
57;Pays ;Pays de naissance;Barbade;10;7;10;*;6;9;10;12
58;Pays ;Pays de naissance;Bélarus;101;43;32;26;28;29;14;31
59;Pays ;Pays de naissance;Belgique;290;220;240;215;274;324;137;272
60;Pays ;Pays de naissance;Belize;*;*;*;*;*;*;*;*
61;Pays ;Pays de naissance;Bénin;467;711;287;259;325;332;348;552
62;Pays ;Pays de naissance;Bermudes;*;*;*;*;*;*;*;*
63;Pays ;Pays de naissance;Bhoutan;*;6;*;*;*;*;*;*
64;Pays ;Pays de naissance;Bolivie;23;6;16;9;17;28;27;23
65;Pays ;Pays de naissance;Bosnie-Herzégovine;30;14;14;10;14;*;*;10
66;Pays ;Pays de naissance;Botswana;5;11;5;*;*;*;*;*
67;Pays ;Pays de naissance;Brésil;671;460;780;984;1 262;1 919;649;952
68;Pays ;Pays de naissance;Brunéi Darussalam;*;*;*;*;*;*;*;*
69;Pays ;Pays de naissance;Bulgarie;70;36;38;28;27;33;24;27
70;Pays ;Pays de naissance;Burkina Faso;278;386;202;142;203;270;268;313
71;Pays ;Pays de naissance;Burundi;545;621;532;616;568;443;585;638
72;Pays ;Pays de naissance;Cambodge;86;97;85;58;37;61;55;54
73;Pays ;Pays de naissance;Cameroun;2 808;3 712;1 842;1 385;1 362;2 431;4 713;11 787
74;Pays ;Pays de naissance;Canada;38;28;23;17;25;19;20;34
75;Pays ;Pays de naissance;Cap-Vert;*;*;*;*;5;*;*;*
76;Pays ;Pays de naissance;Chili;78;79;80;80;83;198;142;211
77;Pays ;Pays de naissance;Chine;9 195;6 011;4 958;3 205;3 841;3 204;1 818;1 993
78;Pays ;Pays de naissance;Chypre;*;*;9;*;*;*;*;*
79;Pays ;Pays de naissance;Cit. brit.;*;*;*;*;*;6;*;*
80;Pays ;Pays de naissance;Colombie;1 341;865;730;736;935;1 894;1 943;2 285
81;Pays ;Pays de naissance;Congo;282;164;166;155;176;218;164;218
82;Pays ;Pays de naissance;Corée du Nord;*;*;*;*;*;*;*;*
83;Pays ;Pays de naissance;Corée du Sud;455;366;329;249;511;345;129;159
84;Pays ;Pays de naissance;Costa Rica;58;64;51;38;34;82;58;44
85;Pays ;Pays de naissance;Côte d'Ivoire;1 723;3 281;1 242;734;910;1 344;1 252;1 944
86;Pays ;Pays de naissance;Croatie;28;24;27;5;*;9;7;*
87;Pays ;Pays de naissance;Cuba;434;367;350;214;394;335;413;515
88;Pays ;Pays de naissance;Curaçao;*;*;*;*;*;*;*;*
89;Pays ;Pays de naissance;Danemark;6;12;8;8;14;8;8;7
90;Pays ;Pays de naissance;Djibouti;56;88;138;104;97;93;85;79
91;Pays ;Pays de naissance;Dominique;6;*;*;*;*;*;*;*
92;Pays ;Pays de naissance;Égypte;911;650;568;532;355;339;285;286
93;Pays ;Pays de naissance;El Salvador;214;147;143;197;120;181;262;168
94;Pays ;Pays de naissance;Émirats arabes unis;248;364;704;262;103;110;90;168
95;Pays ;Pays de naissance;Équateur;39;69;57;27;57;59;79;82
96;Pays ;Pays de naissance;ERREUR!;*;*;*;*;*;*;*;*
97;Pays ;Pays de naissance;Érythrée;92;164;148;135;67;86;103;50
98;Pays ;Pays de naissance;Espagne;157;89;111;97;84;149;83;107
99;Pays ;Pays de naissance;Estonie;*;*;5;*;*;*;*;*
100;Pays ;Pays de naissance;États-Unis;990;932;877;664;896;1 565;1 012;928
101;Pays ;Pays de naissance;Éthiopie;34;48;24;26;22;48;39;66
102;Pays ;Pays de naissance;Falkland;*;*;*;*;*;*;*;*
103;Pays ;Pays de naissance;Fidji;*;*;*;*;*;*;*;*
104;Pays ;Pays de naissance;Finlande;13;9;16;10;7;6;7;5
105;Pays ;Pays de naissance;France;6 060;5 495;5 831;7 427;6 923;10 920;3 982;6 394
106;Pays ;Pays de naissance;Gabon;41;54;37;50;53;69;81;109
107;Pays ;Pays de naissance;Gambie;6;11;*;*;6;20;21;29
108;Pays ;Pays de naissance;Géorgie;18;13;11;7;6;15;6;*
109;Pays ;Pays de naissance;Ghana;91;67;62;42;55;86;90;111
110;Pays ;Pays de naissance;Gibraltar;*;*;*;*;*;*;*;*
111;Pays ;Pays de naissance;Grèce;70;61;46;45;63;43;28;29
112;Pays ;Pays de naissance;Grenade;17;10;7;7;8;6;9;11
113;Pays ;Pays de naissance;Guadeloupe;34;38;46;51;48;59;31;45
114;Pays ;Pays de naissance;Guatemala;100;91;79;87;94;103;122;107
115;Pays ;Pays de naissance;Guinée;291;324;254;281;292;401;400;486
116;Pays ;Pays de naissance;Guinée équatoriale;*;*;*;*;*;*;*;*
117;Pays ;Pays de naissance;Guinée-Bissau;*;*;*;*;*;6;*;*
118;Pays ;Pays de naissance;Guyana;10;6;12;5;8;11;6;9
119;Pays ;Pays de naissance;Guyane française;7;7;*;9;8;17;9;16
120;Pays ;Pays de naissance;Haïti;2 122;1 366;1 822;2 507;2 187;4 649;3 690;4 114
121;Pays ;Pays de naissance;Honduras;85;59;50;73;66;94;111;138
122;Pays ;Pays de naissance;Hong Kong;143;216;182;125;65;71;37;36
123;Pays ;Pays de naissance;Hongrie;51;36;31;17;31;23;16;29
124;Pays ;Pays de naissance;Île de Noël;*;*;*;*;*;*;*;5
125;Pays ;Pays de naissance;Îles Caïmanes;*;*;*;*;*;*;*;*
126;Pays ;Pays de naissance;Îles Comores;6;6;7;9;14;16;13;12
127;Pays ;Pays de naissance;Îles du Pacifique;*;*;*;*;*;*;*;*
128;Pays ;Pays de naissance;Îles Mariannes du Nord;*;*;*;*;*;*;*;*
129;Pays ;Pays de naissance;Îles Marshall;*;*;*;*;*;*;*;*
130;Pays ;Pays de naissance;Îles Salomon;*;*;7;*;*;*;*;*
131;Pays ;Pays de naissance;Îles Turques et Caïques;*;*;*;*;*;*;*;*
132;Pays ;Pays de naissance;Îles Vierges américaines;*;*;*;*;*;*;*;*
133;Pays ;Pays de naissance;Inde;6 825;2 688;1 679;1 081;1 608;1 366;2 433;2 507
134;Pays ;Pays de naissance;Indonésie;43;44;35;37;41;42;43;62
135;Pays ;Pays de naissance;Iran;2 066;1 277;1 513;977;1 056;1 089;1 053;1 388
136;Pays ;Pays de naissance;Iraq;217;276;366;230;87;60;119;83
137;Pays ;Pays de naissance;Irlande;46;23;17;13;26;31;14;17
138;Pays ;Pays de naissance;Islande;*;*;6;*;*;*;*;5
139;Pays ;Pays de naissance;Israël;238;44;81;44;52;45;56;55
140;Pays ;Pays de naissance;Italie;207;163;156;130;108;172;96;111
141;Pays ;Pays de naissance;Jamaïque;86;53;53;52;39;51;49;37
142;Pays ;Pays de naissance;Japon;112;93;81;55;84;87;57;60
143;Pays ;Pays de naissance;Jersey, Bailliage de;*;*;*;*;*;*;*;*
144;Pays ;Pays de naissance;Jordanie;238;95;161;106;73;87;78;63
145;Pays ;Pays de naissance;Kazakhstan;64;59;36;25;19;25;15;34
146;Pays ;Pays de naissance;Kenya;25;39;23;20;27;40;40;43
147;Pays ;Pays de naissance;Kirghizistan;50;21;28;7;19;5;18;6
148;Pays ;Pays de naissance;Kosovo;10;13;12;12;13;20;6;7
149;Pays ;Pays de naissance;Koweït;124;107;229;91;68;77;47;32
150;Pays ;Pays de naissance;Laos;11;*;6;5;*;*;*;9
151;Pays ;Pays de naissance;Lesotho;*;*;*;*;*;*;*;*
152;Pays ;Pays de naissance;Lettonie;16;6;11;*;*;8;9;*
153;Pays ;Pays de naissance;Liban;902;808;952;565;576;893;1 451;1 269
154;Pays ;Pays de naissance;Libéria;14;5;6;*;*;29;27;47
155;Pays ;Pays de naissance;Libye;156;87;81;121;102;132;125;98
156;Pays ;Pays de naissance;Lituanie;12;9;7;10;*;14;8;5
157;Pays ;Pays de naissance;Luxembourg;7;7;8;*;9;14;8;10
158;Pays ;Pays de naissance;Macao;*;*;*;*;6;*;*;*
159;Pays ;Pays de naissance;Macédoine;*;*;*;*;*;13;6;*
160;Pays ;Pays de naissance;Madagascar;123;186;139;159;165;218;227;562
161;Pays ;Pays de naissance;Malaisie;26;29;14;21;13;20;13;23
162;Pays ;Pays de naissance;Malawi;8;*;16;23;*;35;27;13
163;Pays ;Pays de naissance;Maldives;*;*;*;*;*;*;*;*
164;Pays ;Pays de naissance;Mali;188;218;198;153;152;228;173;285
165;Pays ;Pays de naissance;Malte;*;*;*;*;*;*;*;*
166;Pays ;Pays de naissance;Maroc;2 646;2 655;2 996;1 588;2 036;2 587;2 214;3 212
167;Pays ;Pays de naissance;Martinique;23;42;34;49;51;48;21;29
168;Pays ;Pays de naissance;Maurice;319;511;135;246;237;249;192;528
169;Pays ;Pays de naissance;Mauritanie;62;49;64;44;74;119;85;79
170;Pays ;Pays de naissance;Mayotte;*;*;*;*;*;*;*;5
171;Pays ;Pays de naissance;Mexique;664;499;512;714;945;1 566;1 429;1 936
172;Pays ;Pays de naissance;Micronésie;*;*;*;*;*;*;*;*
173;Pays ;Pays de naissance;Moldova;466;165;145;93;122;102;119;101
174;Pays ;Pays de naissance;Monaco;6;8;*;17;6;20;5;10
175;Pays ;Pays de naissance;Mongolie;6;18;5;8;12;6;14;*
176;Pays ;Pays de naissance;Monténégro;*;5;*;*;*;*;*;*
177;Pays ;Pays de naissance;Mozambique;6;6;13;6;*;*;*;*
178;Pays ;Pays de naissance;Myanmar;16;11;*;*;5;10;7;28
179;Pays ;Pays de naissance;Namibie;*;5;14;*;*;11;7;7
180;Pays ;Pays de naissance;Népal;893;99;60;31;40;17;13;14
181;Pays ;Pays de naissance;Nicaragua;25;32;30;35;40;212;92;173
182;Pays ;Pays de naissance;Niger;87;55;68;51;59;68;43;85
183;Pays ;Pays de naissance;Nigéria;241;261;233;406;377;1 140;583;472
184;Pays ;Pays de naissance;Norvège;*;9;7;6;*;7;6;*
185;Pays ;Pays de naissance;Nouvelle-Calédonie;7;14;26;27;32;39;20;24
186;Pays ;Pays de naissance;Nouvelle-Zélande;16;11;9;10;24;18;6;13
187;Pays ;Pays de naissance;Oman;6;6;12;8;12;10;*;19
188;Pays ;Pays de naissance;Ouganda;11;29;55;66;45;49;105;75
189;Pays ;Pays de naissance;Ouzbékistan;40;14;24;16;11;13;9;8
190;Pays ;Pays de naissance;Pakistan;919;842;465;448;531;571;563;570
191;Pays ;Pays de naissance;Palestine;42;27;28;30;34;54;31;43
192;Pays ;Pays de naissance;Panama;11;12;5;16;12;25;9;21
193;Pays ;Pays de naissance;Papouasie-Nouvelle-Guinée;*;*;*;*;*;*;*;*
194;Pays ;Pays de naissance;Paraguay;*;*;5;*;*;5;*;6
195;Pays ;Pays de naissance;Pays-Bas;27;42;44;24;28;39;25;33
196;Pays ;Pays de naissance;Pérou;224;170;171;164;238;271;291;250
197;Pays ;Pays de naissance;Philippines;3 832;1 157;1 179;1 022;765;593;426;681
198;Pays ;Pays de naissance;Pologne;76;55;35;43;44;49;40;22
199;Pays ;Pays de naissance;Polynésie française;7;24;29;25;35;34;23;22
200;Pays ;Pays de naissance;Porto Rico;*;*;*;*;*;5;5;*
201;Pays ;Pays de naissance;Portugal;76;47;46;53;39;54;32;39
202;Pays ;Pays de naissance;Qatar;11;45;106;101;38;29;27;25
203;Pays ;Pays de naissance;Rép. centrafricaine;200;70;161;286;211;82;444;180
204;Pays ;Pays de naissance;Rép. dém. du Congo;1 018;976;901;1 017;814;1 291;1 428;1 485
205;Pays ;Pays de naissance;Rép. dominicaine;237;294;266;182;322;379;322;323
206;Pays ;Pays de naissance;Rép. du Soudan du Sud;*;*;*;*;11;*;*;*
207;Pays ;Pays de naissance;Rép. tchèque;12;5;8;6;10;17;13;5
208;Pays ;Pays de naissance;Réunion;54;48;41;61;66;76;38;62
209;Pays ;Pays de naissance;Roumanie;493;185;143;129;134;151;119;141
210;Pays ;Pays de naissance;Royaume-Uni;244;220;172;160;199;285;150;188
211;Pays ;Pays de naissance;Russie;393;222;146;114;112;111;164;164
212;Pays ;Pays de naissance;Rwanda;274;274;166;252;258;353;429;482
213;Pays ;Pays de naissance;Sahara occidental;*;*;*;*;*;*;*;*
214;Pays ;Pays de naissance;Sainte-Lucie;19;15;13;7;11;14;10;8
215;Pays ;Pays de naissance;Saint-Kitts-et-Nevis;*;*;*;*;*;*;*;*
